Treatment,Code,PitfallNumber,Number,Site ,Morphospecies,Abundance,Taxa,Species,ArthropodGroup,
Control,Con003,1,3,Plateau,Centipede,2,,,centipede,
Control,Con003,1,3,Plateau,springTail,1,,,springtail,
Control,Con003,1,3,Plateau,Neuroptera,4,,,moth,
Control,Con003,1,3,Plateau,smallMite,31,,,mite,
Control,Con003,1,3,Plateau,beettleLarvae2,1,,,larvae,
Control,Con003,1,3,Plateau,Ant,4,,,Ant,
Control,Con003,2,3,Plateau,TigerMoth,3,,,moth,
Control,Con003,2,3,Plateau,Centipede,1,,,centipede,
Control,Con003,2,3,Plateau,smallMite,15,,,mite,
Control,Con003,2,3,Plateau,Neuroptera,1,,,moth,
Control,Con003,2,3,Plateau,Ant,8,,,Ant,
Control,Con003,3,3,Plateau,TigerMoth,1,,,moth,
Control,Con003,3,3,Plateau,Ant,3,,,Ant,
Control,Con003,3,3,Plateau,smallMite,7,,,mite,
Control,Con003,3,3,Plateau,bigMite,1,,,mite,
Control,Con003,3,3,Plateau,2LinedSpider,1,,,Spider,
Control,Con003,3,3,Plateau,Centipede,2,,,centipede,
Control,Con004,1,4,Plateau,TigerMoth,2,,,moth,
Control,Con004,1,4,Plateau,smallMite,15,,,mite,
Control,Con004,1,4,Plateau,LongLeggedMite,31,,,mite,
Control,Con004,1,4,Plateau,Ant,30,,,Ant,
Control,Con004,2,4,Plateau,TigerMoth,3,,,moth,
Control,Con004,2,4,Plateau,bigMite,22,,,mite,
Control,Con004,2,4,Plateau,Hemiptera1,1,,,Hoppers,
Control,Con004,2,4,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con004,2,4,Plateau,Ant,6,,,Ant,
Control,Con004,3,4,Plateau,bigMite,25,,,mite,
Control,Con004,3,4,Plateau,smallCarabidae,1,,,beetle,
Control,Con004,3,4,Plateau,thinFly,1,,,fly,
Control,Con004,3,4,Plateau,smallMite,37,,,mite,
Control,Con004,3,4,Plateau,Ant,7,,,Ant,
Control,Con005,1,5,Plateau,Ant,12,,,Ant,
Control,Con005,1,5,Plateau,2LinedSpider,1,,,Spider,
Control,Con005,1,5,Plateau,Centipede,1,,,centipede,
Control,Con005,1,5,Plateau,Spider2,1,,,Spider,
Control,Con005,1,5,Plateau,springTail,9,,,springtail,
Control,Con005,1,5,Plateau,bigMite,2,,,mite,
Control,Con005,2,5,Plateau,Coleoptera1,2,Ceroglossus,,groundBeetle,
Control,Con005,2,5,Plateau,Ant,12,,,Ant,
Control,Con005,2,5,Plateau,FruitFly,1,,,fly,
Control,Con005,2,5,Plateau,Spider3,1,Theridiidae,,Spider,
Control,Con005,2,5,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con005,2,5,Plateau,Curculionidae4,1,Scotylinae,,weevil,
Control,Con005,2,5,Plateau,HorseFly,1,,,fly,
Control,Con005,3,5,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Control,Con005,3,5,Plateau,Coleoptera2,1,,,groundBeetle,
Control,Con005,3,5,Plateau,HorseFly,1,,,fly,
Control,Con005,3,5,Plateau,Centipede,2,,,centipede,
Control,Con005,3,5,Plateau,Ant,20,,,Ant,
Control,Con005,3,5,Plateau,springTail,6,,,springtail,
Control,Con006,1,6,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con006,1,6,Plateau,FruitFly,2,,,fly,
Control,Con006,1,6,Plateau,Spider3,1,Theridiidae,,Spider,
Control,Con006,1,6,Plateau,LongLeggedMite,28,,,mite,
Control,Con006,2,6,Plateau,Ant,3,,,Ant,
Control,Con006,2,6,Plateau,smallCarabidae,1,,,beetle,
Control,Con006,2,6,Plateau,FruitFly,2,,,fly,
Control,Con006,2,6,Plateau,HorseFly,1,,,fly,
Control,Con006,2,6,Plateau,bigMite,12,,,mite,
Control,Con006,3,6,Plateau,2LinedSpider,1,,,Spider,
Control,Con006,3,6,Plateau,Ant,1,,,Ant,
Control,Con006,3,6,Plateau,smallMite,17,,,mite,
Control,Con006,3,6,Plateau,bigMite,4,,,mite,
Control,Con007,1,7,Plateau,TigerMoth,3,,,moth,
Control,Con007,1,7,Plateau,Ant,4,,,Ant,
Control,Con007,1,7,Plateau,Staphylinidae,1,,,groundBeetle,
Control,Con007,1,7,Plateau,2LinedSpider,1,,,Spider,
Control,Con007,1,7,Plateau,FruitFly,1,,,fly,
Control,Con007,1,7,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con007,1,7,Plateau,smallMite,25,,,mite,
Control,Con007,1,7,Plateau,bigMite,5,,,mite,
Control,Con007,2,7,Plateau,TigerMoth,3,,,moth,
Control,Con007,2,7,Plateau,Ant,6,,,Ant,
Control,Con007,2,7,Plateau,Centipede,1,,,centipede,
Control,Con007,2,7,Plateau,smallCarabidae,8,,,beetle,
Control,Con007,2,7,Plateau,Spider2,1,,,Spider,
Control,Con007,2,7,Plateau,bigMite,12,,,mite,
Control,Con007,3,7,Plateau,smallMite,4,,,mite,
Control,Con008,1,8,Plateau,TigerMoth,2,,,moth,
Control,Con008,1,8,Plateau,SilverFish,1,,,silverfish,
Control,Con008,1,8,Plateau,smallMite,4,,,mite,
Control,Con008,1,8,Plateau,LongLeggedMite,5,,,mite,
Control,Con008,2,8,Plateau,Coleoptera1,2,Ceroglossus,,groundBeetle,
Control,Con008,2,8,Plateau,SilverFish,1,,,silverfish,
Control,Con008,2,8,Plateau,LongLeggedMite,8,,,mite,
Control,Con008,2,8,Plateau,Aphid,2,,,Hoppers,
Control,Con008,2,8,Plateau,smallMite,14,,,mite,
Control,Con008,2,8,Plateau,smallCarabidae,1,,,beetle,
Control,Con008,2,8,Plateau,Wasp5,1,Ichneumonidae,,wasp,
Control,Con008,2,8,Plateau,TigerMoth,1,,,moth,
Control,Con008,2,8,Plateau,Ant,1,,,Ant,
Control,Con008,3,8,Plateau,Ant,12,,,Ant,
Control,Con008,3,8,Plateau,smallHairyBeetle,1,Derorontinae,,beetle,
Control,Con008,3,8,Plateau,FruitFly,1,,,fly,
Control,Con008,3,8,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con008,3,8,Plateau,bigMite,5,,,mite,
Control,Con009,1,9,Plateau,Ant,3,,,Ant,
Control,Con009,1,9,Plateau,smallHairyBeetle,1,Derorontinae,,beetle,
Control,Con009,1,9,Plateau,LongLeggedMite,27,,,mite,
Control,Con009,1,9,Plateau,BigMite,2,,,mite,
Control,Con009,2,9,Plateau,TigerMoth,2,,,moth,
Control,Con009,2,9,Plateau,Centipede,1,,,centipede,
Control,Con009,2,9,Plateau,SilverFish,1,,,silverfish,
Control,Con009,2,9,Plateau,smallMite,11,,,mite,
Control,Con009,2,9,Plateau,bigMite,5,,,mite,
Control,Con009,2,9,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Control,Con009,2,9,Plateau,Ant,47,,,Ant,
Control,Con010,1,10,Plateau,SilverFish,3,,,silverfish,
Control,Con010,1,10,Plateau,TigerMoth,4,,,moth,
Control,Con010,1,10,Plateau,LongLeggedMite,6,,,mite,
Control,Con010,1,10,Plateau,Hemiptera1,1,,,Hoppers,
Control,Con010,1,10,Plateau,smallMite,1,,,mite,
Control,Con010,2,10,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con010,2,10,Plateau,HorseFly,1,,,fly,
Control,Con010,2,10,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con010,2,10,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con010,2,10,Plateau,smallHairyBeetle,1,Derorontinae,,beetle,
Control,Con010,2,10,Plateau,Ant,8,,,Ant,
Control,Con010,2,10,Plateau,smallMite,16,,,mite,
Control,Con010,2,10,Plateau,bigMite,5,,,mite,
Control,Con010,3,10,Plateau,warriorWasp,1,Sphecidae,,wasp,
Control,Con010,3,10,Plateau,FruitFly,1,,,fly,
Control,Con010,3,10,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con010,3,10,Plateau,bigMite,5,,,mite,
Control,Con010,3,10,Plateau,smallMite,5,,,mite,
Control,Con011,1,11,Plateau,HorseFly,1,,,fly,
Control,Con011,1,11,Plateau,Centipede,1,,,centipede,
Control,Con011,1,11,Plateau,FruitFly,1,,,fly,
Control,Con011,1,11,Plateau,SilverFish,4,,,silverfish,
Control,Con011,1,11,Plateau,2LinedSpider,1,,,Spider,
Control,Con011,1,11,Plateau,Ant,15,,,Ant,
Control,Con011,1,11,Plateau,smallMite,16,,,mite,
Control,Con011,2,11,Plateau,Ant,6,,,Ant,
Control,Con011,2,11,Plateau,SilverFish,2,,,silverfish,
Control,Con011,2,11,Plateau,Centipede,1,,,centipede,
Control,Con011,2,11,Plateau,Aphid,1,,,Hoppers,
Control,Con011,2,11,Plateau,smallMite,9,,,mite,
Control,Con011,2,11,Plateau,bigMite,1,,,mite,
Control,Con011,3,11,Plateau,Ant,12,,,Ant,
Control,Con011,3,11,Plateau,SilverFish,1,,,silverfish,
Control,Con011,3,11,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con011,3,11,Plateau,HorseFly,1,,,fly,
Control,Con011,3,11,Plateau,bigMite,4,,,mite,
Control,Con011,3,11,Plateau,smallMite,6,,,mite,
Control,Con012,1,12,Plateau,HorseFly,2,,,fly,
Control,Con012,1,12,Plateau,Dermaptera1,2,Esphalmenus,porteri,dermaptera,
Control,Con012,1,12,Plateau,bigMite,2,,,mite,
Control,Con012,1,12,Plateau,smallMite,33,,,mite,
Control,Con012,1,12,Plateau,Ant,45,,,Ant,
Control,Con012,2,12,Plateau,Moth3,1,,,moth,
Control,Con012,2,12,Plateau,Staphylinidae,1,,,groundBeetle,
Control,Con012,2,12,Plateau,SilverFish,2,,,silverfish,
Control,Con012,2,12,Plateau,Ant,15,,,Ant,
Control,Con012,2,12,Plateau,HorseFly,1,,,fly,
Control,Con012,2,12,Plateau,Aphid,1,,,Hoppers,
Control,Con012,2,12,Plateau,smallMite,13,,,mite,
Control,Con012,2,12,Plateau,bigMite,3,,,mite,
Control,Con012,3,12,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Control,Con012,3,12,Plateau,FruitFly,1,,,fly,
Control,Con012,3,12,Plateau,Ant,50,,,Ant,
Control,Con012,3,12,Plateau,bigMite,3,,,mite,
Control,Con013,1,13,Plateau,TigerMoth,2,,,moth,
Control,Con013,1,13,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Control,Con013,1,13,Plateau,FruitFly,1,,,fly,
Control,Con013,1,13,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con013,1,13,Plateau,SilverFish,2,,,silverfish,
Control,Con013,1,13,Plateau,Ant,8,,,Ant,
Control,Con013,1,13,Plateau,Wasp5,1,Ichneumonidae,,wasp,
Control,Con013,1,13,Plateau,smallMite,10,,,mite,
Control,Con013,1,13,Plateau,bigMite,2,,,mite,
Control,Con013,2,13,Plateau,SilverFish,9,,,silverfish,
Control,Con013,2,13,Plateau,Ant,20,,,Ant,
Control,Con013,2,13,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con013,2,13,Plateau,Neuroptera,1,,,moth,
Control,Con013,2,13,Plateau,smallMite,50,,,mite,
Control,Con013,3,13,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con013,3,13,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Control,Con013,3,13,Plateau,HorseFly,1,,,fly,
Control,Con013,3,13,Plateau,FruitFly,3,,,fly,
Control,Con013,3,13,Plateau,SilverFish,4,,,silverfish,
Control,Con013,3,13,Plateau,smallCarabidae,1,,,beetle,
Control,Con013,3,13,Plateau,2LinedSpider,1,,,Spider,
Control,Con013,3,13,Plateau,Ant,40,,,Ant,
Control,Con013,3,13,Plateau,smallMite,60,,,mite,
Control,Con014,1,14,Plateau,Ant,33,,,Ant,
Control,Con014,1,14,Plateau,Aphid,1,,,Hoppers,
Control,Con014,1,14,Plateau,thinFly,1,,,fly,
Control,Con014,1,14,Plateau,Neuroptera,1,,,moth,
Conttrol,Con014,2,14,Plateau,Ant,9,,,Ant,
Control,Con014,3,14,Plateau,TigerMoth,1,,,moth,
Control,Con014,3,14,Plateau,Ant,1,,,Ant,
Control,Con014,3,14,Plateau,Bumblebee,1,Bombus,,wasp,
Control,Con014,3,14,Plateau,Spider5,1,Theridiidae,,Spider,
Control,Con014,3,14,Plateau,HorseFly,1,,,fly,
Control,Con014,3,14,Plateau,smallMite,2,,,mite,
Control,Con015,1,15,Plateau,springTail,3,,,springtail,
Control,Con015,1,15,Plateau,smallCarabidae,9,,,beetle,
Control,Con015,1,15,Plateau,bigMite,1,,,mite,
Control,Con015,1,15,Plateau,Ant,3,,,Ant,
Control,Con015,2,15,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Control,Con015,2,15,Plateau,SilverFish,1,,,silverfish,
Control,Con015,2,15,Plateau,bigMite,3,,,mite,
Control,Con015,2,15,Plateau,smallMite,20,,,mite,
Control,Con015,3,15,Plateau,bigMite,7,,,mite,
Control,Con015,3,15,Plateau,Staphylinidae,1,,,groundBeetle,
Control,Con015,3,15,Plateau,Centipede,1,,,centipede,
Control,Con015,3,15,Plateau,smallMite,14,,,mite,
Control,Con016,1,16,Plateau,Coleoptera2,1,,,groundBeetle,
Control,Con016,1,16,Plateau,Wasp1,2,Chrysidoidea,,wasp,
Control,Con016,1,16,Plateau,BigFly,1,,,fly,
Control,Con016,1,16,Plateau,Neuroptera,2,,,moth,
Control,Con016,1,16,Plateau,LongLeggedMite,2,,,mite,
Control,Con016,1,16,Plateau,Aphid,1,,,Hoppers,
Control,Con016,1,16,Plateau,Ant,33,,,Ant,
Control,Con017,1,17,Plateau,Ant,29,,,Ant,
Control,Con017,1,17,Plateau,smallMite,17,,,mite,
Control,Con017,1,17,Plateau,SilverFish,1,,,silverfish,
Control,Con017,1,17,Plateau,Neuroptera,1,,,moth,
Control,Con017,1,17,Plateau,Spider2,1,,,Spider,
Control,Con017,1,17,Plateau,thinFly,2,,,fly,
Control,Con017,1,17,Plateau,OrangeWasp,1,Typhidae,,wasp,
Control,Con017,1,17,Plateau,FruitFly,2,,,fly,
Control,Con017,1,17,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con017,2,17,Plateau,OrangeWasp,2,Typhidae,,wasp,
Control,Con017,2,17,Plateau,Curculionidae2,1,Scotylinae,,weevil,
Control,Con017,2,17,Plateau,HorseFly,2,,,fly,
Control,Con017,2,17,Plateau,Curculionidae3,1,,,weevil,
Control,Con017,2,17,Plateau,FruitFly,1,,,fly,
Control,Con017,2,17,Plateau,Ant,58,,,Ant,
Control,Con017,2,17,Plateau,smallMite,40,,,mite,
Control,Con017,2,17,Plateau,bigMite,4,,,mite,
Control,Con017,3,17,Plateau,Coleoptera1,3,Ceroglossus,,groundBeetle,
Control,Con017,3,17,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con017,3,17,Plateau,HorseFly,2,,,fly,
Control,Con017,3,17,Plateau,Spider3,2,Theridiidae,,Spider,
Control,Con017,3,17,Plateau,Ant,90,,,Ant,
Control,Con017,3,17,Plateau,smallMite,20,,,mite,
Control,Con017,3,17,Plateau,Neuroptera,2,,,moth,
Control,Con017,3,17,Plateau,Aphid,1,,,Hoppers,
Control,Con018,1,18,Plateau,2LinedSpider,1,,,Spider,
Control,Con018,1,18,Plateau,Coleoptera1,2,Ceroglossus,,groundBeetle,
Control,Con018,1,18,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con018,1,18,Plateau,Spider3,2,Theridiidae,,Spider,
Control,Con018,1,18,Plateau,LongLeggedMite,17,,,mite,
Control,Con018,1,18,Plateau,Centipede,1,,,centipede,
Control,Con018,1,18,Plateau,SmallFly,1,,,fly,
Control,Con018,1,18,Plateau,Neuroptera,1,,,moth,
Control,Con018,1,18,Plateau,Ant,21,,,Ant,
Control,Con018,2,18,Plateau,Spider2,1,,,Spider,
Control,Con018,2,18,Plateau,OrangeWasp,1,Typhidae,,wasp,
Control,Con018,2,18,Plateau,TigerMoth,1,,,moth,
Control,Con018,2,18,Plateau,Ant,9,,,Ant,
Control,Con018,2,18,Plateau,Neuroptera,3,,,moth,
Control,Con018,2,18,Plateau,bigEyedWasp,1,Asilidae,,wasp,
Control,Con018,2,18,Plateau,bigMite,2,,,mite,
Control,Con018,2,18,Plateau,FruitFly,1,,,fly,
Control,Con018,2,18,Plateau,smallMite,5,,,mite,
Control,Con018,3,18,Plateau,Curculionidae4,1,Scotylinae,,weevil,
Control,Con018,3,18,Plateau,Neuroptera,9,,,moth,
Control,Con018,3,18,Plateau,Aphid,1,,,Hoppers,
Control,Con018,3,18,Plateau,Ant,6,,,Ant,
Control,Con018,3,18,Plateau,smallMite,6,,,mite,
Control,Con019,1,19,Plateau,SilverFish,3,,,silverfish,
Control,Con019,1,19,Plateau,Centipede,3,,,centipede,
Control,Con019,1,19,Plateau,BigMite,2,,,mite,
Control,Con019,1,19,Plateau,FruitFly,3,,,fly,
Control,Con019,1,19,Plateau,Neuroptera,4,,,moth,
Control,Con019,1,19,Plateau,Coleoptera4,3,Sericoides,,groundBeetle,
Control,Con019,1,19,Plateau,Coleoptera2,1,,,groundBeetle,
Control,Con019,1,19,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Control,Con019,1,19,Plateau,LongLeggedMite,3,,,mite,
Control,Con019,1,19,Plateau,Ant,14,,,Ant,
Control,Con019,2,19,Plateau,TigerMoth,1,,,moth,
Control,Con019,2,19,Plateau,Coleoptera1,3,Ceroglossus,,groundBeetle,
Control,Con019,2,19,Plateau,Ant,13,,,Ant,
Control,Con019,2,19,Plateau,bigMite,1,,,mite,
Control,Con019,2,19,Plateau,SilverFish,2,,,silverfish,
Control,Con019,2,19,Plateau,Spider2,1,,,Spider,
Control,Con019,2,19,Plateau,Centipede,5,,,centipede,
Control,Con019,2,19,Plateau,Neuroptera,1,,,moth,
Control,Con019,2,19,Plateau,FruitFly,1,,,fly,
Control,Con019,3,19,Plateau,Dermaptera1,1,Esphalmenus,porteri,dermaptera,
Control,Con019,3,19,Plateau,Ant,1,,,Ant,
Control,Con019,3,19,Plateau,HorseFly,2,,,fly,
Control,Con019,3,19,Plateau,bigMite,1,,,mite,
Control,Con019,3,19,Plateau,smallMite,2,,,mite,
Control,Con020,1,20,Plateau,Coleoptera2,1,,,groundBeetle,
Control,Con020,1,20,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con020,1,20,Plateau,Spider3,2,Theridiidae,,Spider,
Control,Con020,1,20,Plateau,Centipede,1,,,centipede,
Control,Con020,1,20,Plateau,Wasp2,1,,,wasp,
Control,Con020,1,20,Plateau,2LinedSpider,2,,,Spider,
Control,Con020,1,20,Plateau,smallHairyBeetle,1,Derorontinae,,beetle,
Control,Con020,1,20,Plateau,Hemiptera1,2,,,Hoppers,
Control,Con020,1,20,Plateau,Ant,2,,,Ant,
Control,Con020,1,20,Plateau,Mite,2,,,mite,
Control,Con020,2,20,Plateau,TigerMoth,1,,,moth,
Control,Con020,2,20,Plateau,2LinedSpider,2,,,Spider,
Control,Con020,2,20,Plateau,SilverFish,3,,,silverfish,
Control,Con020,2,20,Plateau,Centipede,2,,,centipede,
Control,Con020,2,20,Plateau,FruitFly,1,,,fly,
Control,Con020,2,20,Plateau,Ichneumonidae,1,Ichneumonidae,,wasp,
Control,Con020,2,20,Plateau,Wasp1,1,Chrysidoidea,,wasp,
Control,Con020,2,20,Plateau,Ant,2,,,Ant,
Control,Con020,2,20,Plateau,Neuroptera,1,,,moth,
Control,Con020,2,20,Plateau,smallMite,6,,,mite,
Control,Con020,3,20,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con020,3,20,Plateau,smallFly,7,,,fly,
Control,Con020,3,20,Plateau,Hemiptera1,1,,,Hoppers,
Control,Con020,3,20,Plateau,Ant,17,,,Ant,
Control,Con020,3,20,Plateau,smallMite,7,,,mite,
Control,ConL1,3,1,Treeline,Scorpion,1,Bothriurus,patagonicus,Spider,
Control,ConL1,3,1,Treeline,Neuroptera,5,,,moth,
Control,ConL1,3,1,Treeline,Ant,4,,,Ant,
Control,ConL1,3,1,Treeline,Wasp1,1,Chrysidoidea,,wasp,
Control,ConL1,3,1,Treeline,smallMite,3,,,mite,
Control,ConL1,3,1,Treeline,bigMite,2,,,mite,
Control,ConL1,3,1,Treeline,FruitFly,2,,,fly,
Control,ConL1,3,1,Treeline,HorseFly,1,,,fly,
Control,ConL1,1,1,Treeline,SilverFish,5,,,silverfish,
Control,ConL1,1,1,Treeline,Curculionidae2,1,Scotylinae,,weevil,
Control,ConL1,1,1,Treeline,thinFly,2,,,fly,
Control,ConL1,1,1,Treeline,Grillidae,1,Grillidae,,Hoppers,
Control,ConL1,2,1,Treeline,Wasp1,1,Chrysidoidea,,wasp,_
Control,ConL1,2,1,Treeline,OrangeWasp,4,Typhidae,,wasp,
Control,ConL1,2,1,Treeline,Hemiptera1,1,,,Hoppers,
Control,ConL1,2,1,Treeline,SilverFish,7,,,silverfish,
Control,ConL1,2,1,Treeline,2LinedSpider,1,,,Spider,
Control,ConL1,2,1,Treeline,FruitFly,1,,,fly,
Control,ConL1,2,1,Treeline,smallMite,18,,,mite,
Control,ConL1,2,1,Treeline,Neuroptera,1,,,moth,
Control,ConL2,3,2,Treeline,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,ConL2,3,2,Treeline,OrangeWasp,1,Typhidae,,wasp,
Control,ConL2,3,2,Treeline,2LinedSpider,1,,,Spider,
Control,ConL2,1,2,Treeline,Grillidae,1,Grillidae,,Hoppers,
Control,ConL2,1,2,Treeline,SmallFly,1,,,silverfish,
Control,ConL2,1,2,Treeline,Neuroptera,3,,,moth,
Control,ConL2,1,2,Treeline,Hemiptera1,1,,,Hoppers,
Control,ConL2,1,2,Treeline,SilverFish,5,,,silverfish,
Control,ConL2,1,2,Treeline,smallMite,2,,,mite,
Control,ConL2,1,2,Treeline,thinFly,1,,,fly,
Control,ConL2,1,2,Treeline,LongLeggedMite,1,,,mite,
Control,ConL2,2,2,Treeline,2LinedSpider,2,,,Spider,
Control,ConL2,2,2,Treeline,Neuroptera,1,,,moth,
Control,ConL2,2,2,Treeline,SilverFish,7,,,silverfish,
Control,ConL2,2,2,Treeline,smallMite,1,,,mite,
Control,ConL2,3,2,Treeline,Coleoptera8,1,,,groundBeetle,
Control,ConL2,3,2,Treeline,Lampiridae,1,Discodon,magellanicum,groundBeetle,
Control,ConL2,3,2,Treeline,Neuroptera,2,,,moth,
Control,ConL2,3,2,Treeline,FruitFly,1,,,fly,
Control,ConL2,3,2,Treeline,Hemiptera1,1,,,Hoppers,
Control,ConL2,3,2,Treeline,springTail,1,,,springtail,
Control,ConL2,3,2,Treeline,smallMite,2,,,mite,
Control,ConL2,3,2,Treeline,Ant2,1,,,Ant,
Control,ConL3,3,3,Treeline,Coleoptera5,1,Cnemalobus,,groundBeetle,
Control,ConL3,3,3,Treeline,Neuroptera,2,,,moth,
Control,ConL3,3,3,Treeline,smallMite,2,,,mite,
Control,ConL3,3,3,Treeline,FruitFly,4,,,fly,
Control,ConL3,3,3,Treeline,thinFly,3,,,fly,
Control,ConL3,1,3,Treeline,Scorpion,6,Bothriurus,patagonicus,Spider,
Control,ConL3,1,3,Treeline,Wasp1,1,Chrysidoidea,,wasp,
Control,ConL3,1,3,Treeline,Coleoptera6,1,Nyctelia,,groundBeetle,
Control,ConL3,1,3,Treeline,bigMoth,1,,,moth,
Control,ConL3,1,3,Treeline,SilverFish,1,,,silverfish,
Control,ConL3,1,3,Treeline,otherFly,1,,,fly,
Control,ConL3,1,3,Treeline,Hemiptera1,1,,,Hoppers,
Control,ConL3,1,3,Treeline,thinFly,1,,,fly,
Control,ConL3,2,3,Treeline,OrangeWasp,2,Typhidae,,wasp,
Control,ConL3,2,3,Treeline,SilverFish,1,,,silverfish,
Control,ConL3,2,3,Treeline,spider5,1,Theridiidae,,Spider,
Control,ConL3,2,3,Treeline,Hemiptera1,1,,,Hoppers,
Control,ConL3,2,3,Treeline,FruitFly,2,,,fly,
Control,ConL3,2,3,Treeline,Neuroptera,1,,,moth,
Control,ConL3,2,3,Treeline,smallMite,5,,,mite,
Control,ConL4,1,4,Treeline,TigerMoth,1,,,moth,
Control,ConL4,1,4,Treeline,SilverFish,2,,,silverfish,
Control,ConL4,1,4,Treeline,Neuroptera,3,,,moth,
Control,ConL4,1,4,Treeline,Wasp3,1,Scolinae,,wasp,
Control,ConL4,1,4,Treeline,Wasp1,6,Chrysidoidea,,wasp,
Control,ConL4,1,4,Treeline,SmallFly,2,,,fly,
